sample_name,knockdown,stock,driver,driver_stock,tissue,path_r1,path_r2
kd_Unr_head_rep1,Unr,32432,Mef2.R,25756,female_head,amarel_novo_r1,amarel_novo_r2
kd_Unr_head_rep2,Unr,32491,Mef2.R,25756,female_head,amarel_novo_r1,amarel_novo_r2
kd_NFI_head_rep1,NFI,31929,Mef2.R,25756,female_head,amarel_novo_r1,amarel_novo_r2
kd_NFI_head_rep2,NFI,31929,Mef2.R,25756,female_head,amarel_novo_r1,amarel_novo_r2
kd_CG16779_head_rep1,CG16779,51756,Mef2.R,25756,female_head,amarel_novo_r1,amarel_novo_r2
kd_CG16779_head_rep2,CG16779,51756,Mef2.R,25756,female_head,amarel_novo_r1,amarel_novo_r2
kd_vvl_head_rep1,vvl,50657,Mef2.R,25756,female_head,amarel_novo_r1,amarel_novo_r2
kd_vvl_head_rep2,vvl,26228,Mef2.R,25756,female_head,amarel_novo_r1,amarel_novo_r2
gfp_head_rep1,control,35786,Mef2.R,25756,female_head,amarel_novo2_r1,amarel_novo2_r2
gfp_head_rep2,control,35786,Mef2.R,25756,female_head,amarel_novo2_r1,amarel_novo2_r2
gfp_testes_rep1,control,35786,aTub,5138,male_gonad,amarel_novo3_r1,amarel_novo3_r2
gfp_testes_rep2,control,35786,aTub,5138,male_gonad,amarel_novo3_r1,amarel_novo3_r2
kd_pan_testes_rep1,pan,40848,aTub,5138,male_gonad,amarel_novo3_r1,amarel_novo3_r2
kd_pan_testes_rep2,pan,26743,aTub,5138,male_gonad,amarel_novo3_r1,amarel_novo3_r2
kd_CG16779_testes_rep1,CG16779,51756,aTub,5138,male_gonad,amarel_novo3_r1,amarel_novo3_r2
kd_CG16779_testes_rep2,CG16779,51756,aTub,5138,male_gonad,amarel_novo3_r1,amarel_novo3_r2
gfp_ovary_tj_rep1,control,35786,tj,50105,female_gonad,amarel_novo3_r1,amarel_novo3_r2
gfp_ovary_tj_rep2,control,35786,tj,50105,female_gonad,amarel_novo3_r1,amarel_novo3_r2
kd_CG16779_ovary_tj_rep1,CG16779,51756,tj,50105,female_gonad,amarel_novo3_r1,amarel_novo3_r2
kd_pan_ovary_tj_rep1,pan,40848,tj,50105,female_gonad,amarel_novo3_r1,amarel_novo3_r2
kd_pan_ovary_tj_rep2,pan,26743,tj,50105,female_gonad,amarel_novo3_r1,amarel_novo3_r2
kd_pan_head_rep1,pan,26743,Mef2.R,25756,female_head,amarel_novo3_r1,amarel_novo3_r2
kd_pan_head_rep2,pan,26743,Mef2.R,25756,female_head,amarel_novo3_r1,amarel_novo3_r2
kd_pan_ovary_nos_rep1,pan,26743,nos,25751,female_gonad,amarel_novo4_r1,amarel_novo4_r2
kd_pan_ovary_nos_rep2,pan,40848,nos,25751,female_gonad,amarel_novo4_r1,amarel_novo4_r2
gfp_ovary_nos_rep1,control,35786,nos,25751,female_gonad,amarel_novo4_r1,amarel_novo4_r2
